,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pasni,54,PK,1595204454,84,25.26,63.47,84.92,10.0
1,Wagar,100,SD,1595204456,55,16.15,36.2,83.39,21.74
2,Vaini,90,TO,1595204458,88,-21.2,-175.2,71.6,8.05
3,Saskylakh,31,RU,1595204408,62,71.92,114.08,59.5,10.65
4,Punta Arenas,63,CL,1595204461,74,-53.15,-70.92,33.8,8.05
5,Teacapan,12,MX,1595204462,64,22.55,-105.75,86.92,10.76
6,Thompson,75,CA,1595204464,44,55.74,-97.86,75.2,4.7
7,Guhāgar,100,IN,1595204466,86,17.48,73.19,79.05,0.87
8,Aklavik,75,CA,1595204283,76,68.22,-135.01,48.2,5.82
9,Dodge City,1,US,1595204470,62,37.75,-100.02,90.0,8.05
10,Waingapu,27,ID,1595204472,73,-9.66,120.26,77.36,11.63
11,Ust'-Ishim,62,RU,1595204474,94,57.69,71.17,63.64,4.94
12,Borogontsy,75,RU,1595204477,66,62.67,131.17,78.22,7.54
13,Hermanus,3,ZA,1595204385,95,-34.42,19.23,53.01,1.99
14,Teguise,20,ES,1595204482,78,29.06,-13.56,75.2,17.22
15,Busselton,36,AU,1595204484,99,-33.65,115.33,48.0,3.0
16,Havøysund,75,NO,1595204486,76,71.0,24.66,53.6,5.82
17,Port Lincoln,49,AU,1595204488,62,-34.73,135.87,54.91,6.31
18,Thinadhoo,100,MV,1595204490,75,0.53,72.93,83.93,18.9
19,Taoudenni,39,ML,1595204492,15,22.68,-3.98,101.7,8.59
20,Ankpa,97,NG,1595204494,96,7.37,7.63,71.04,7.36
21,Kavieng,25,PG,1595204490,72,-2.57,150.8,84.16,11.1
22,Bredasdorp,6,ZA,1595204498,93,-34.53,20.04,55.4,3.36
23,Katsuura,75,JP,1595204500,94,35.13,140.3,82.0,3.36
24,Ibipeba,38,BR,1595204502,90,-11.64,-42.01,60.91,6.96
25,Vila Franca do Campo,40,PT,1595204235,64,37.72,-25.43,69.8,10.29
26,Mocuba,18,MZ,1595204505,98,-16.84,36.99,61.23,3.42
27,Northam,0,GB,1595204455,90,51.03,-4.22,57.0,1.01
28,Faanui,67,PF,1595204411,83,-16.48,-151.75,77.2,20.36
29,Yellowknife,40,CA,1595204512,49,62.46,-114.35,73.99,8.05
30,Storsteinnes,100,NO,1595204514,93,69.24,19.23,53.6,5.82
31,Chokurdakh,73,RU,1595204383,43,70.63,147.92,73.89,18.01
32,Albany,59,US,1595204316,65,42.6,-73.97,86.0,1.01
33,Hithadhoo,100,MV,1595204498,78,-0.6,73.08,83.5,16.17
34,Mataura,92,NZ,1595204520,83,-46.19,168.86,39.0,3.0
35,Egvekinot,0,RU,1595204523,54,66.32,-179.17,49.89,5.35
36,Atuona,24,PF,1595204525,74,-9.8,-139.03,79.54,14.52
37,Kununurra,0,AU,1595204526,24,-15.77,128.73,75.2,4.7
38,Port Alfred,0,ZA,1595204493,62,-33.59,26.89,60.26,6.55
39,Rikitea,45,PF,1595204530,62,-23.12,-134.97,68.68,11.03
40,North Battleford,40,CA,1595204454,44,52.78,-108.28,75.2,6.93
41,Aquiraz,20,BR,1595204534,78,-3.9,-38.39,78.8,6.93
42,Ixtapa,75,MX,1595204536,79,20.7,-105.2,87.01,8.05
43,Esim,42,GH,1595204538,92,4.87,-2.24,74.91,6.58
44,Puerto Ayora,92,EC,1595204540,91,-0.74,-90.35,70.0,4.0
45,Christchurch,19,NZ,1595204542,82,-43.53,172.63,55.99,11.41
46,Great Falls,1,US,1595204544,23,47.5,-111.3,84.0,5.82
47,Ugoofaaru,100,MV,1595204546,80,5.67,73.0,80.35,24.99
48,East London,0,ZA,1595204547,52,-33.02,27.91,59.54,6.15
49,New Norfolk,69,AU,1595204383,81,-42.78,147.06,46.0,3.0
50,‘Ewa Beach,90,US,1595204433,58,21.32,-158.01,87.8,9.17
51,Hobart,40,AU,1595204340,70,-42.88,147.33,48.2,16.11
52,Huntsville,1,US,1595204407,78,34.73,-86.59,86.0,1.5
53,Khatanga,98,RU,1595204391,77,71.97,102.5,51.78,2.68
54,Bambous Virieux,40,MU,1595204369,77,-20.34,57.76,68.0,11.41
55,Narsaq,33,GL,1595204559,50,60.92,-46.05,53.6,6.93
56,Jamestown,90,US,1595204562,100,42.1,-79.24,72.0,13.87
57,Barrow,90,US,1595204564,80,71.29,-156.79,39.2,13.87
58,San Jose,75,US,1595204456,53,37.34,-121.89,78.8,11.41
59,Prado,100,BR,1595204567,88,-17.34,-39.22,71.33,8.95
60,Kochubey,0,RU,1595204568,69,44.39,46.58,78.51,8.14
61,Poya,13,NC,1595204569,55,-21.35,165.15,73.15,7.67
62,Bluff,75,NZ,1595204571,83,-46.6,168.33,39.0,3.0
63,Dunedin,72,NZ,1595204400,72,-45.87,170.5,48.0,8.99
64,Camacha,40,PT,1595204329,83,33.08,-16.33,69.8,9.17
65,Aktanysh,90,RU,1595204576,91,55.72,54.08,64.65,10.58
66,Esperance,90,AU,1595204531,66,-33.87,121.9,53.6,4.7
67,Sinnamary,87,GF,1595204435,82,5.38,-52.95,78.91,9.15
68,Kyenjojo,10,UG,1595204580,71,0.63,30.62,58.24,1.07
69,Torbay,39,CA,1595204582,60,47.67,-52.73,64.99,3.0
70,Rosetta,0,EG,1595204584,78,31.4,30.42,77.0,11.41
71,Tiksi,14,RU,1595204586,54,71.69,128.87,63.1,10.04
72,Adeje,0,ES,1595204587,83,28.12,-16.73,82.0,4.7
73,Hong Kong,100,HK,1595204589,74,22.29,114.16,86.0,3.0
74,Upernavik,59,GL,1595204590,54,72.79,-56.15,49.03,7.65
75,Bac Lieu,98,VN,1595204540,75,9.29,105.72,82.09,0.76
76,Okhotsk,74,RU,1595204594,81,59.38,143.3,60.8,7.18
77,Jiexiu,0,CN,1595204596,41,37.02,111.91,77.77,4.56
78,Los Barrios,0,ES,1595204597,88,36.18,-5.49,75.2,6.93
79,Alice Springs,55,AU,1595204377,47,-23.7,133.88,57.2,5.82
80,Bratsk,20,RU,1595204602,76,56.13,101.61,53.6,4.47
81,Saint Paul Harbor,90,US,1595204320,82,57.79,-152.41,59.0,17.22
82,Nanortalik,2,GL,1595204413,74,60.14,-45.24,48.34,6.44
83,Dhārchula,54,IN,1595204609,74,29.85,80.53,68.07,1.83
84,Laguna,1,US,1595204438,33,38.42,-121.42,89.01,12.75
85,Sept-Îles,75,CA,1595204613,64,50.2,-66.38,71.6,5.82
86,Zdvinsk,52,RU,1595204412,86,54.7,78.66,66.88,5.19
87,Cidreira,56,BR,1595204618,80,-30.18,-50.21,66.18,8.77
88,Santa Catarina Mita,20,GT,1595204620,33,14.45,-89.75,91.4,3.36
89,Hilo,90,US,1595204343,74,19.73,-155.09,80.6,10.29
90,Balaipungut,20,ID,1595204623,94,1.05,101.28,75.2,5.82
91,Wuwei,97,CN,1595204625,51,37.93,102.64,70.0,2.84
92,Daru,98,PG,1595204626,88,-9.08,143.21,76.77,17.76
93,Ushuaia,20,AR,1595204629,92,-54.8,-68.3,26.6,6.93
94,Kamenka,0,RU,1595204630,89,51.32,42.77,57.99,3.74
95,Koutsouras,0,GR,1595204632,45,35.03,25.95,78.01,15.99
96,Arraial do Cabo,0,BR,1595204394,85,-22.97,-42.03,70.95,22.59
97,Killybegs,16,IE,1595204636,96,54.63,-8.45,43.0,8.59
98,San Cristobal,20,VE,1595204489,43,7.77,-72.22,91.4,11.41
99,Cape Town,40,ZA,1595204377,100,-33.93,18.42,57.99,9.17
100,Avera,1,US,1595204641,44,33.19,-82.53,93.2,5.82
101,Castro,18,BR,1595204643,91,-24.79,-50.01,57.25,3.8
102,Severo-Kuril'sk,100,RU,1595204493,87,50.68,156.12,51.93,12.35
103,Airai,17,TL,1595204456,52,-8.93,125.41,63.59,3.02
104,Kibala,99,TD,1595204648,94,9.11,18.35,73.4,2.64
105,São Filipe,82,CV,1595204650,83,14.9,-24.5,77.09,7.9
106,Ust-Tsilma,0,RU,1595204652,88,65.44,52.15,51.13,2.39
107,Bengkulu,40,ID,1595204525,90,-3.8,102.27,75.76,4.85
108,Sokoni,20,TZ,1595204656,78,-6.43,39.55,75.2,9.17
109,Osakarovka,38,KZ,1595204658,47,50.56,72.57,62.08,7.78
110,Pringsewu,8,ID,1595204660,90,-5.36,104.97,74.46,0.74
111,Langsa,56,ID,1595204582,92,4.47,97.97,75.43,2.55
112,Geraldton,0,AU,1595204664,81,-28.77,114.6,50.0,12.75
113,Richards Bay,0,ZA,1595204666,84,-28.78,32.04,57.63,5.06
114,Clyde River,75,CA,1595204667,70,70.47,-68.59,46.4,5.82
115,Atar,77,MR,1595204631,30,20.52,-13.05,94.71,15.79
116,Iquique,90,CL,1595204671,72,-20.22,-70.14,59.0,9.17
117,Menomonie,1,US,1595204672,44,44.88,-91.92,77.0,11.41
118,Nuuk,79,GL,1595204674,44,64.18,-51.72,59.0,3.36
119,Mar del Plata,90,AR,1595204676,87,-38.0,-57.56,53.6,13.87
120,Farafangana,96,MG,1595204678,65,-22.82,47.83,66.83,4.29
121,Tuktoyaktuk,40,CA,1595204680,76,69.45,-133.04,48.2,4.7
122,Padang,20,ID,1595204682,100,-0.95,100.35,73.4,2.24
123,George Town,20,MY,1595204424,94,5.41,100.34,80.6,4.45
124,Atasū,42,KZ,1595204686,51,48.68,71.64,68.13,10.04
125,Lovington,1,US,1595204687,21,32.94,-103.35,93.2,12.75
126,Vaitape,66,PF,1595204688,82,-16.52,-151.75,78.04,20.33
127,High Level,75,CA,1595204650,56,58.52,-117.14,73.4,8.05
128,Carnarvon,0,AU,1595204690,66,-24.87,113.63,53.6,10.29
129,Srednekolymsk,0,RU,1595204650,37,67.45,153.68,75.52,12.53
130,Loralai,0,PK,1595204693,50,30.37,68.6,79.34,6.31
131,Biak,64,ID,1595204694,78,-0.91,122.88,79.05,7.99
132,Souillac,40,MU,1595204696,77,-20.52,57.52,68.0,11.41
133,Tuatapere,96,NZ,1595204697,83,-46.13,167.68,39.0,3.0
134,Nouakchott,40,MR,1595204647,83,18.09,-15.98,78.8,13.87
135,Pangody,12,RU,1595204473,86,65.85,74.49,50.43,14.99
136,Morgan City,1,US,1595204701,78,29.7,-91.21,82.4,5.82
137,Mangochi,1,MW,1595204703,80,-14.48,35.26,61.65,7.76
138,Lata,0,PT,1595204705,95,40.16,-8.33,66.0,2.44
139,Tarpon Springs,1,US,1595204706,74,28.15,-82.76,84.0,3.36
140,Homer,90,US,1595204708,93,59.64,-151.55,57.99,5.82
141,Hamilton,1,US,1595204570,88,39.18,-84.53,77.0,10.78
142,Dikson,100,RU,1595204713,95,73.51,80.55,41.09,10.96
143,Saldanha,0,ZA,1595204714,87,-33.01,17.94,48.2,5.82
144,Aykhal,90,RU,1595204443,100,66.0,111.5,53.6,8.95
145,Bilma,34,NE,1595204718,15,18.69,12.92,93.61,9.35
146,Vikhorevka,4,RU,1595204719,76,56.12,101.16,53.6,4.47
147,Kapit,99,MY,1595204722,93,2.02,112.93,75.9,0.51
148,Nouadhibou,23,MR,1595204724,88,20.93,-17.03,71.6,9.17
149,Itoigawa,100,JP,1595204726,59,37.03,137.85,84.09,1.92
150,Biankouma,87,CI,1595204727,97,7.74,-7.61,67.51,2.8
151,Mount Gambier,75,AU,1595204729,87,-37.83,140.77,51.8,8.05
152,Ilulissat,85,GL,1595204593,46,69.22,-51.1,53.6,2.24
153,Ponta Delgada,40,PT,1595204504,64,37.73,-25.67,69.8,10.29
154,Avarua,81,CK,1595204733,78,-21.21,-159.78,77.0,18.34
155,Scarborough,51,GB,1595204441,77,54.28,-0.4,52.0,13.94
156,Trelew,90,AR,1595204637,100,-43.25,-65.31,42.8,8.05
157,Raja,100,SS,1595204740,95,8.46,25.68,67.21,4.27
158,Flinders,0,AU,1595204644,50,-34.58,150.86,57.99,8.99
159,San Patricio,75,MX,1595204744,79,19.22,-104.7,84.2,11.41
160,Paracale,100,PH,1595204746,80,14.28,122.79,82.74,4.14
161,Butaritari,63,KI,1595204747,76,3.07,172.79,83.73,15.68
162,Yulara,90,AU,1595204749,87,-25.24,130.99,51.8,6.93
163,Fortuna,20,US,1595204453,77,40.6,-124.16,62.6,12.75
164,Belaya Gora,54,RU,1595204513,37,68.53,146.42,76.75,16.44
165,Sampit,22,ID,1595204755,89,-2.53,112.95,77.11,2.86
166,San Andrés,75,CO,1595204757,79,12.58,-81.7,84.2,9.17
167,Kapaa,75,US,1595204715,70,22.08,-159.32,84.2,18.34
168,Labuhan,12,ID,1595204760,83,-6.88,112.21,76.78,8.97
169,Harsūd,74,IN,1595204762,86,22.1,76.73,79.0,9.35
170,Mahon,0,ES,1595204666,88,39.89,4.27,69.8,5.3
171,Lincoln,2,US,1595204545,55,40.8,-96.67,84.99,3.0
172,Loandjili,40,CG,1595204766,94,-4.76,11.86,73.4,4.7
173,Gazli,0,UZ,1595204768,18,40.13,63.45,83.1,7.36
174,Watsa,100,CD,1595204769,100,3.04,29.54,63.09,1.14
175,Masterton,89,NZ,1595204770,82,-40.96,175.66,59.0,7.81
176,Marang,20,MY,1595204772,94,5.21,103.21,78.8,3.36
177,Tautira,75,PF,1595204774,61,-17.73,-149.15,82.4,5.82
178,Moyale,98,KE,1595204776,73,3.52,39.06,65.17,17.11
179,Polokwane,0,ZA,1595204777,60,-23.9,29.47,42.8,3.36
180,Khairābād,100,IN,1595204779,89,27.53,80.75,79.81,10.54
181,Bethel,1,US,1595204782,58,41.37,-73.41,82.99,11.41
182,Phalodi,4,IN,1595204784,66,27.13,72.37,87.6,19.1
183,Bandarbeyla,76,SO,1595204639,63,9.49,50.81,79.54,23.0
184,Comodoro Rivadavia,90,AR,1595204787,87,-45.87,-67.5,42.8,10.29
185,Half Moon Bay,90,US,1595204789,82,37.46,-122.43,75.99,5.82
186,Touros,40,BR,1595204791,100,-5.2,-35.46,73.4,2.24
187,Udachny,90,RU,1595204688,100,66.42,112.4,53.6,8.95
188,Linköping,43,SE,1595204794,93,58.41,15.62,62.6,4.7
189,Davila,20,PH,1595204796,88,18.47,120.58,80.6,2.24
190,Puerto Escondido,40,MX,1595204798,70,15.85,-97.07,86.0,5.82
191,Saint-Philippe,40,RE,1595204800,77,-21.36,55.77,62.6,11.41
192,Panara,99,IN,1595204802,90,22.07,78.55,74.95,7.0
193,Sawākin,56,SD,1595204804,40,19.11,37.33,89.69,5.39
194,Acapulco de Juárez,75,MX,1595204600,79,16.86,-99.89,86.0,8.05
195,Fomboni,54,KM,1595204807,70,-12.28,43.74,77.16,27.09
196,San Luis,19,AR,1595204808,80,-33.3,-66.34,53.29,11.14
197,Lafayette,1,US,1595204710,74,30.23,-92.07,84.2,7.65
198,Norman Wells,75,CA,1595204811,72,65.28,-126.83,60.8,10.29
199,Nishihara,40,JP,1595204813,79,26.18,127.76,86.0,9.17
200,Longyearbyen,75,SJ,1595204714,87,78.22,15.64,44.6,11.41
201,Saint-Augustin,50,CA,1595204816,69,51.23,-58.65,67.06,9.08
202,Vitim,100,RU,1595204817,84,59.45,112.56,55.65,1.52
203,Talnakh,87,RU,1595204819,76,69.49,88.4,50.0,15.66
204,Visnes,12,NO,1595204821,71,59.36,5.22,55.4,8.05
205,Zemio,100,CF,1595204823,96,5.03,25.14,67.62,2.21
206,Grand-Santi,70,GF,1595204825,94,4.25,-54.38,73.74,3.29
207,Grand-Lahou,100,CI,1595204826,91,5.14,-5.02,75.4,9.01
208,Porto-Novo,40,BJ,1595204828,100,6.5,2.6,75.2,6.93
209,Ancud,90,CL,1595204830,100,-41.87,-73.82,48.99,4.7
210,Conceição do Araguaia,28,BR,1595204831,54,-8.26,-49.26,80.6,3.36
211,Qaanaaq,98,GL,1595204833,69,77.48,-69.36,47.7,2.28
212,Kaitangata,98,NZ,1595204618,74,-46.28,169.85,44.01,2.21
213,Ostrovnoy,0,RU,1595204577,72,68.05,39.51,61.38,14.0
214,Anuchino,100,RU,1595204838,73,43.96,133.05,65.3,5.17
215,Levice,4,SK,1595204840,94,48.22,18.61,60.01,3.13
216,The Valley,20,AI,1595204774,74,18.22,-63.06,84.2,11.41
217,Mossamedes,0,AO,1595204843,70,-15.2,12.15,67.01,5.28
218,Bairnsdale,42,AU,1595204846,60,-37.83,147.62,55.99,3.0
219,Manaia,6,NZ,1595204847,81,-39.55,174.13,57.99,3.0
220,Tieling,96,CN,1595204849,88,42.29,123.84,70.07,8.19
221,Kumul,79,CN,1595204851,17,42.8,93.45,87.3,8.1
222,Warwick,75,US,1595204694,69,41.7,-71.42,82.99,10.29
223,Tubmanburg,100,LR,1595204855,97,6.87,-10.82,72.93,2.64
224,Marsá Maţrūḩ,20,EG,1595204856,73,31.35,27.25,75.2,7.76
225,Isangel,40,VU,1595204665,61,-19.55,169.27,77.0,10.29
226,Asău,100,RO,1595204682,98,46.43,26.4,60.01,2.71
227,Krasnoarmeysk,3,RU,1595204862,59,51.02,45.7,66.99,1.01
228,Bathsheba,20,BB,1595204864,69,13.22,-59.52,82.4,13.87
229,Shingū,75,JP,1595204589,94,33.73,135.98,78.8,2.24
230,Matamoros,75,MX,1595204867,27,25.53,-103.25,91.4,16.11
231,Dondo,8,MZ,1595204869,77,-19.61,34.74,68.0,2.24
232,Champerico,90,GT,1595204871,94,14.3,-91.92,77.0,6.93
233,Buncrana,55,IE,1595204874,87,55.13,-7.45,47.97,8.05
234,Nantucket,40,US,1595204876,94,41.28,-70.1,70.0,11.41
235,Taveta,20,KE,1595204877,100,-3.4,37.67,57.2,6.24
236,Kaniama,0,CD,1595204879,42,-7.57,24.18,58.87,5.01
237,Blythe,75,US,1595204596,7,33.61,-114.6,114.8,13.87
238,Winnipeg,40,CA,1595204646,64,49.88,-97.15,70.0,11.41
239,Broome,1,US,1595204885,83,42.25,-75.83,75.0,9.17
240,Cherskiy,0,RU,1595204839,40,68.75,161.3,72.34,4.81
241,Chui,96,UY,1595204888,84,-33.7,-53.46,66.38,7.34
242,Presidente Médici,56,BR,1595204890,51,-11.18,-61.9,79.21,1.9
243,Río Gallegos,40,AR,1595204891,92,-51.62,-69.22,30.2,2.24
244,Domoni,10,KM,1595204893,74,-12.26,44.53,74.01,17.81
245,Tessalit,8,ML,1595204896,32,20.2,1.01,87.66,8.84
246,Zheleznodorozhnyy,97,RU,1595204897,93,55.75,38.0,64.0,2.24
247,Vardø,100,NO,1595204899,94,70.37,31.11,53.38,11.45
248,Key Largo,13,US,1595204900,1,25.09,-80.45,84.0,11.01
249,Maceió,75,BR,1595204820,100,-9.67,-35.74,71.6,6.93
250,Kutum,95,SD,1595204667,62,14.2,24.67,74.68,11.3
251,Cabo San Lucas,20,MX,1595204822,38,22.89,-109.91,96.01,18.34
252,Itarema,39,BR,1595204907,80,-2.92,-39.92,76.51,11.45
253,Albion,40,US,1595204910,83,42.24,-84.75,75.2,6.93
254,Nazarovo,35,RU,1595204911,79,56.01,90.39,58.42,3.47
255,Vao,20,NC,1595204848,68,-22.67,167.48,69.37,14.18
256,Bjørnevatn,93,NO,1595204915,93,69.67,29.98,59.0,3.36
257,Nikolskoye,16,RU,1595204916,82,59.7,30.79,60.8,2.24
258,Beyneu,0,KZ,1595204919,24,45.32,55.2,84.45,13.47
259,Cândido Mendes,60,BR,1595204921,92,-1.45,-45.72,73.89,3.44
260,Peterborough,29,GB,1595204923,71,52.57,-0.25,55.4,8.05
261,Huarmey,77,PE,1595204925,83,-10.07,-78.15,61.14,8.77
262,Hasaki,75,JP,1595204642,88,35.73,140.83,78.01,8.05
263,Macklin,96,CA,1595204928,68,52.33,-109.93,68.25,8.48
264,Sitka,90,US,1595204929,93,57.05,-135.33,57.2,6.93
265,Saint George,1,US,1595204844,7,37.1,-113.58,106.0,19.46
266,Mongo,85,TD,1595204931,80,12.18,18.69,74.84,11.45
267,Lebu,4,CL,1595204837,89,-37.62,-73.65,51.35,12.75
268,Toktogul,13,KG,1595204934,57,41.87,72.94,62.78,0.76
269,Salalah,90,OM,1595204675,94,17.02,54.09,78.8,2.24
270,Pangnirtung,100,CA,1595204652,57,66.15,-65.71,56.98,2.13
271,Guerrero Negro,4,MX,1595204939,68,27.98,-114.06,75.49,18.32
272,Falun,67,SE,1595204942,100,60.6,15.63,59.0,2.24
273,Sechura,0,PE,1595204943,76,-5.56,-80.82,64.51,16.49
274,Naze,40,JP,1595204945,84,28.37,129.48,86.0,12.75
275,La Huacana,90,MX,1595204947,60,18.97,-101.82,75.2,6.93
276,Barcelos,90,PT,1595204950,93,41.54,-8.62,66.99,2.24
277,Mandurah,0,AU,1595204951,84,-32.55,115.7,44.01,13.82
278,Lagoa,27,PT,1595204953,79,39.05,-27.98,68.99,5.23
279,Lorengau,80,PG,1595204677,68,-2.02,147.27,84.61,10.33
280,Lompoc,5,US,1595204673,68,34.64,-120.46,66.99,17.22
281,Gornopravdinsk,0,RU,1595204959,81,60.05,69.9,56.37,7.92
282,Luby,100,CZ,1595204962,98,50.25,12.41,59.0,1.01
283,Fairbanks,1,US,1595204921,46,64.84,-147.72,73.99,2.77
284,Lüderitz,0,NA,1595204965,27,-26.65,15.16,68.0,8.05
285,Samarai,100,PG,1595204839,86,-10.62,150.67,76.19,14.85
286,Maromitsa,77,RU,1595204968,83,59.87,48.01,57.24,7.38
287,Lagos,20,NG,1595204775,94,6.58,3.75,77.0,2.24
288,Caravelas,94,BR,1595204971,85,-17.71,-39.25,71.64,7.63
289,Deep River,20,CA,1595204752,65,46.1,-77.5,78.8,8.21
290,Malakal,69,SS,1595204975,93,9.53,31.66,68.97,3.24
291,Norrtälje,100,SE,1595204976,43,59.76,18.7,66.99,3.0
292,Tongchuanshi,1,CN,1595204978,50,35.08,109.09,75.74,1.99
293,Huanren,100,CN,1595204980,92,41.26,125.37,68.04,3.87
294,Ponta do Sol,20,PT,1595204982,64,32.67,-17.1,71.6,10.29
